acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.39,https://api.spotify.com/v1/audio-analysis/2qG5sZ7Si6sdK74qLxedYM,0.882,161627,0.689,2qG5sZ7Si6sdK74qLxedYM,0.00325,6,0.0501,-4.027,1,0.124,0.29976875,97.963,4,https://api.spotify.com/v1/tracks/2qG5sZ7Si6sdK74qLxedYM,audio_features,spotify:track:2qG5sZ7Si6sdK74qLxedYM,0.746
0.444,https://api.spotify.com/v1/audio-analysis/6Cs7b9bu3fy5XhMwBA9Tz4,0.856,219667,0.523,6Cs7b9bu3fy5XhMwBA9Tz4,0,4,0.0537,-10.481,0,0.131,0.34959375,105.935,4,https://api.spotify.com/v1/tracks/6Cs7b9bu3fy5XhMwBA9Tz4,audio_features,spotify:track:6Cs7b9bu3fy5XhMwBA9Tz4,0.709
0.11,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,0.737,193227,0.86,5w9c2J52mkdntKOmRLeM2m,1.94E-06,8,0.0574,-2.652,0,0.0593,0.27493125,93.989,4,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,audio_features,spotify:track:5w9c2J52mkdntKOmRLeM2m,0.656
0.753,https://api.spotify.com/v1/audio-analysis/224EVTFiLsdQignUFLvDeH,0.688,360960,0.62,224EVTFiLsdQignUFLvDeH,5.27E-06,11,0.158,-8.029,0,0.22,0.7501125,170.018,4,https://api.spotify.com/v1/tracks/224EVTFiLsdQignUFLvDeH,audio_features,spotify:track:224EVTFiLsdQignUFLvDeH,0.727
0.402,https://api.spotify.com/v1/audio-analysis/5fL5vIkuEYyJpUSUcueMHT,0.556,213373,0.508,5fL5vIkuEYyJpUSUcueMHT,0.00533,7,0.165,-6.564,1,0.352,0.81294375,180.071,4,https://api.spotify.com/v1/tracks/5fL5vIkuEYyJpUSUcueMHT,audio_features,spotify:track:5fL5vIkuEYyJpUSUcueMHT,0.53
0.252,https://api.spotify.com/v1/audio-analysis/31UjYv5vLsDkzchJOtUMtW,0.837,184436,0.791,31UjYv5vLsDkzchJOtUMtW,1.14E-06,4,0.188,-3.157,0,0.0773,0.262375,91.98,4,https://api.spotify.com/v1/tracks/31UjYv5vLsDkzchJOtUMtW,audio_features,spotify:track:31UjYv5vLsDkzchJOtUMtW,0.618
0.391,https://api.spotify.com/v1/audio-analysis/4lzxJ4jCuFDXXGkE1LmpKR,0.857,267500,0.647,4lzxJ4jCuFDXXGkE1LmpKR,1.20E-06,11,0.0842,-4.152,0,0.0984,0.2873875,95.982,4,https://api.spotify.com/v1/tracks/4lzxJ4jCuFDXXGkE1LmpKR,audio_features,spotify:track:4lzxJ4jCuFDXXGkE1LmpKR,0.553
0.446,https://api.spotify.com/v1/audio-analysis/4T4CZ3Q4z3GG7lU720YYhM,0.778,213913,0.731,4T4CZ3Q4z3GG7lU720YYhM,0,5,0.251,-4.325,1,0.0399,0.26244375,91.991,4,https://api.spotify.com/v1/tracks/4T4CZ3Q4z3GG7lU720YYhM,audio_features,spotify:track:4T4CZ3Q4z3GG7lU720YYhM,0.854
0.241,https://api.spotify.com/v1/audio-analysis/6v0lAdFF4haL8xjBIUjtOw,0.673,201818,0.752,6v0lAdFF4haL8xjBIUjtOw,4.51E-05,2,0.0813,-3.572,0,0.0561,0.78748125,175.997,4,https://api.spotify.com/v1/tracks/6v0lAdFF4haL8xjBIUjtOw,audio_features,spotify:track:6v0lAdFF4haL8xjBIUjtOw,0.797
0.0156,https://api.spotify.com/v1/audio-analysis/3JjaofJ0lCeEsFSZqppzOp,0.828,224681,0.588,3JjaofJ0lCeEsFSZqppzOp,0,2,0.124,-7.14,1,0.118,0.275325,94.052,4,https://api.spotify.com/v1/tracks/3JjaofJ0lCeEsFSZqppzOp,audio_features,spotify:track:3JjaofJ0lCeEsFSZqppzOp,0.598
